,name,categories,address,lat,lng,labeledLatLngs,distance,postalCode,cc,city,state,country,formattedAddress,crossStreet,neighborhood,id
35,Pizzaria Vieira,Pizza Place,,-23.542261123657227,-46.643672943115234,"[{'label': 'display', 'lat': -23.542261123657227, 'lng': -46.643672943115234}]",934,,BR,,,Brasil,['Brasil'],,,5407bb63498ef14f7903c67e
36,Pizzaria Nobreza,Pizza Place,,-23.541538,-46.641131,"[{'label': 'display', 'lat': -23.541538, 'lng': -46.641131}]",747,,BR,,,Brasil,['Brasil'],,,50aed54fe4b0211a3135c55a
37,Romanni Pizzaria e Esfiharia,Pizza Place,"R. Brig. Galvão, 477",-23.53133615309213,-46.65652006529593,"[{'label': 'display', 'lat': -23.53133615309213, 'lng': -46.65652006529593}]",2685,,BR,São Paulo,SP,Brasil,"['R. Brig. Galvão, 477', 'São Paulo, SP', 'Brasil']",,,4c2e77e7452620a1f9ec1b0f
38,Lanchonete e Pizzaria Real,Pizza Place,"Av. Prof. Alfonso Bovero, 2",-23.544998044053482,-46.6822762632346,"[{'label': 'display', 'lat': -23.544998044053482, 'lng': -46.6822762632346}]",4800,01254-000,BR,São Paulo,SP,Brasil,"['Av. Prof. Alfonso Bovero, 2 (Av. Dr. Arnaldo)', 'São Paulo, SP', '01254-000', 'Brasil']",Av. Dr. Arnaldo,,4b8537d6f964a520515131e3
39,Camelo Pizzaria,Pizza Place,"R. Pamplona, 1873",-23.572238184647333,-46.6619681904338,"[{'label': 'display', 'lat': -23.572238184647333, 'lng': -46.6619681904338}]",4035,01405-002,BR,São Paulo,SP,Brasil,"['R. Pamplona, 1873', 'São Paulo, SP', '01405-002', 'Brasil']",,,4cc4a813306e224b03969e6c
40,Pizzaria San Michelli,Pizza Place,Jose Antonio Coelhi,-23.549617769029396,-46.639504790803414,"[{'label': 'display', 'lat': -23.549617769029396, 'lng': -46.639504790803414}]",630,,BR,São Paulo,SP,Brasil,"['Jose Antonio Coelhi', 'São Paulo, SP', 'Brasil']",,,4bde1656e75c0f4756e2c603
41,Pizzaria Bella Napoli,Pizza Place,"R. Cap. Pinto Ferreira, 137-207 - Jardim Paulista",-23.572316214373505,-46.65532544876046,"[{'label': 'display', 'lat': -23.572316214373505, 'lng': -46.65532544876046}]",3618,01423-020,BR,São Paulo,SP,Brasil,"['R. Cap. Pinto Ferreira, 137-207 - Jardim Paulista (R. Batataes)', 'São Paulo, SP', '01423-020', 'Brasil']",R. Batataes,,4c797af8bd346dcbf8a0f5ef
42,Pizzaria Central,Pizza Place,,-23.540897180243224,-46.642866283714405,"[{'label': 'display', 'lat': -23.540897180243224, 'lng': -46.642866283714405}]",933,,BR,,,Brasil,['Brasil'],,,531f9ebe498e0abd4b380fe0
43,Vica Pota Pizzaria,Pizza Place,"R. Alagoas, 549",-23.545960701026512,-46.65955392037251,"[{'label': 'display', 'lat': -23.545960701026512, 'lng': -46.65955392037251}]",2482,01242-001,BR,São Paulo,SP,Brasil,"['R. Alagoas, 549 (R. Angélica)', 'São Paulo, SP', '01242-001', 'Brasil']",R. Angélica,,4b89b58bf964a520d14c32e3
44,Pizzaria Encanto,Pizza Place,"Rua Dr. Frederico Steidel, 167",-23.547008,-46.64342,"[{'label': 'display', 'lat': -23.547008, 'lng': -46.64342}]",851,,BR,São Paulo,SP,Brasil,"['Rua Dr. Frederico Steidel, 167', 'São Paulo, SP', 'Brasil']",,,51466f7ae4b02dd32f171207
45,Pizzaria Michelangelo,Pizza Place,Shopping Center Norte,-23.515296357919556,-46.61705133943162,"[{'label': 'display', 'lat': -23.515296357919556, 'lng': -46.61705133943162}]",3842,02089-900,BR,São Paulo,SP,Brasil,"['Shopping Center Norte (Loja 0408, Terraço)', 'São Paulo, SP', '02089-900', 'Brasil']","Loja 0408, Terraço",,4e0fab61b61c3fe47810151d
46,Pizzaria Chaplin,Pizza Place,"R. Luís Góis, 1231",-23.60419,-46.63958,"[{'label': 'display', 'lat': -23.60419, 'lng': -46.63958}]",6545,04043-300,BR,São Paulo,SP,Brasil,"['R. Luís Góis, 1231', 'São Paulo, SP', '04043-300', 'Brasil']",,,4bbfb2114cdfc9b609ba9121
47,Pizzaria Mantiqueira,Pizza Place,"Rua Alcino Braga, 23",-23.574280589838867,-46.65046732388719,"[{'label': 'display', 'lat': -23.574280589838867, 'lng': -46.65046732388719}]",3558,,BR,,,Brasil,"['Rua Alcino Braga, 23', 'Brasil']",,,4de58c1f2271f377c29687d8
48,"Oliveiras Restaurante, Pizzaria e Lanchonete",Restaurant,"Pç. Mal. Deodoro, 216",-23.534294973176202,-46.654579286695935,"[{'label': 'display', 'lat': -23.534294973176202, 'lng': -46.654579286695935}]",2336,01150-010,BR,São Paulo,SP,Brasil,"['Pç. Mal. Deodoro, 216', 'São Paulo, SP', '01150-010', 'Brasil']",,,5486c21f498e9b7b783d74a3
49,Pizzaria Ideal,Pizza Place,"Av. Álvaro Ramos, 798",-23.544429497054743,-46.58630763638055,"[{'label': 'display', 'lat': -23.544429497054743, 'lng': -46.58630763638055}]",4994,03330-002,BR,São Paulo,SP,Brasil,"['Av. Álvaro Ramos, 798 (R. Pe. Adelino)', 'São Paulo, SP', '03330-002', 'Brasil']",R. Pe. Adelino,,4b60dfaff964a5200eff29e3
